,name,type.id,type.name
0,.NET Assemblies,ST1,Specialized Skill
1,.NET Development,ST1,Specialized Skill
2,.NET Framework,ST1,Specialized Skill
3,.NET Framework 1,ST1,Specialized Skill
4,.NET Framework 3,ST1,Specialized Skill
5,.NET Framework 4,ST1,Specialized Skill
6,.NET Reflector,ST1,Specialized Skill
7,.NET Remoting,ST1,Specialized Skill
8,.htaccess Files,ST1,Specialized Skill
9,.nettiers,ST1,Specialized Skill
10,10 Gigabit Ethernet,ST1,Specialized Skill
11,1010data,ST1,Specialized Skill
12,10BASE-F (Physical Layer Protocols),ST1,Specialized Skill
13,10BASE-FL,ST1,Specialized Skill
14,10BASE2,ST1,Specialized Skill
15,10BASE5,ST1,Specialized Skill
16,10G-PON,ST1,Specialized Skill
17,12 Volt Electricity,ST1,Specialized Skill
18,123RF (Image Library),ST1,Specialized Skill
19,128bit,ST1,Specialized Skill
20,12factor,ST1,Specialized Skill
21,1Password,ST1,Specialized Skill
22,2020 Design Software,ST1,Specialized Skill
23,2D Animation,ST1,Specialized Skill
24,2D Computer Graphics,ST1,Specialized Skill
25,2D Computer-Aided Drafting And Design,ST1,Specialized Skill
26,2D Gel Analysis Software,ST1,Specialized Skill
27,2checkout,ST1,Specialized Skill
28,3.5G (Telecommunication),ST1,Specialized Skill
29,35 Mm Films,ST1,Specialized Skill
30,360-Degree Feedback,ST1,Specialized Skill
31,389 Directory Server (Fedora Project),ST1,Specialized Skill
32,3CX Phone Systems,ST1,Specialized Skill
33,3D Animation,ST1,Specialized Skill
34,3D Art,ST1,Specialized Skill
35,3D Camcorder,ST1,Specialized Skill
36,3D Computer Graphics,ST1,Specialized Skill
37,3D Computer Graphics Software,ST1,Specialized Skill
38,3D Conformal Radiotherapy (3DCRT),ST1,Specialized Skill
39,3D Graphic Design,ST1,Specialized Skill
40,3D Modeling,ST1,Specialized Skill
41,3D Modeling Software,ST1,Specialized Skill
42,3D Projection,ST1,Specialized Skill
43,3D Reconstruction,ST1,Specialized Skill
44,3D Rendering,ST1,Specialized Skill
45,3D Scanning,ST1,Specialized Skill
46,3D Touch,ST1,Specialized Skill
47,3D Visualization,ST1,Specialized Skill
48,3DML,ST1,Specialized Skill
49,3DMark (Computer Benchmarking),ST1,Specialized Skill
50,3DSlicer,ST1,Specialized Skill
51,3Delight (Software),ST1,Specialized Skill
52,3Dvia Composer,ST1,Specialized Skill
53,3GP (Telecommunication),ST1,Specialized Skill
54,3GPP (Telecommunication),ST1,Specialized Skill
55,3GPP2 (Telecommunication),ST1,Specialized Skill
56,3M (Software),ST1,Specialized Skill
57,3M Codefinder,ST1,Specialized Skill
58,3M Encoder,ST1,Specialized Skill
